case_id,transaction_amount,payment_method,device_type,revenue_event,failure_reason,retry_count,recovery_eligible,customer_age,customer_city,behavior_transactions,behavior_total_spend,behavior_average_order_value,behavior_avg_session_minutes,behavior_avg_pages,behavior_returning_rate,behavior_avg_rating,behavior_avg_delivery_days,historical_transactions,historical_total_spend,historical_average_order_value,historical_median_order_value,historical_max_order_value,historical_total_quantity,days_since_last_purchase,customer_lifetime_days,purchase_frequency_per_30d,distinct_products,distinct_countries,favorite_product,customer_value_segment,risk_amount,risk_payment_method,risk_device_type,failed_transactions_24h,transaction_frequency_24h,unusual_amount_flag,unusual_location_flag,multiple_transactions_short_time,high_risk_device_flag,velocity_flag,previous_fraud_flag,risk_score,risk_signal_count,automated_recovery_risk,retry_expected_probability,payment_link_expected_probability,reminder_expected_probability,escalation_expected_probability,retry_expected_recovery,payment_link_expected_recovery,reminder_expected_recovery,escalation_expected_recovery,counterfactual_optimal_action_unconstrained,estimated_optimal_recovery_unconstrained,high_risk_case,policy_recommended_action,selected_action_probability,actual_outcome,actual_recovery_success,actual_recovered_amount,baseline_action,baseline_expected_recovery,baseline_recovery_success,baseline_actual_recovered_amount
CASE_001673,3717.21,Debit Card,Desktop,checkout_abandonment,customer_inactivity,0,False,31.0,Antalya,1,3717.21,3717.21,25.0,10.0,0.0,5.0,3.0,88,9748.86,110.78250000000001,98.65,294.0,795,218,154,17.142857142857142,80,1,Cream Hanging Heart T-Light Holder,high,48.04,Debit Card,Desktop,1,10,False,False,True,False,False,True,,2,medium,0.3858,0.54,0.2688,0.5,1434.1,2007.29,999.19,1858.6,CREATE_PAYMENT_LINK,2007.29,True,ESCALATE_TO_HUMAN,0.5,recovered,True,3717.21,ESCALATE_TO_HUMAN,1858.6,True,3717.21
CASE_005916,38.43,Google Pay,Tablet,subscription_failure,expired_payment_method,0,True,18.0,Bursa,1,38.43,38.43,12.0,8.0,0.0,4.0,4.0,49,5937.3,121.16938775510205,98.10000000000001,759.6,501,113,73,20.136986301369866,39,1,Small Glass Heart Trinket Pot,high,55.91,Google Pay,Tablet,0,1,False,False,False,False,False,False,,0,low,0.4873,0.4142,0.4968,0.5,18.73,15.92,19.09,19.22,ESCALATE_TO_HUMAN,19.22,False,ESCALATE_TO_HUMAN,0.5,escalated,False,0.0,SEND_REMINDER,19.09,False,0.0
CASE_006228,163.96,PayPal,Desktop,payment_failure,temporary_bank_error,0,True,36.0,Eskisehir,1,163.96,163.96,17.0,7.0,1.0,2.0,6.0,39,799.03,20.48794871794872,18.06,53.56,44,353,0,39.0,38,1,Metal Sign Cupcake Single Hook,low,8.07,PayPal,Desktop,2,4,False,False,False,False,False,False,,0,low,0.7815,0.4773,0.365,0.5,128.13,78.26,59.85,81.98,RETRY_PAYMENT,128.13,False,RETRY_PAYMENT,0.7815,not_recovered,False,0.0,RETRY_PAYMENT,128.13,True,163.96
CASE_002159,311.14,Apple Pay,Desktop,repeated_payment_failure,repeated_payment_failure,2,False,40.0,Ankara,1,311.14,311.14,3.0,5.0,1.0,4.0,4.0,60,6016.78,100.27966666666666,31.535,1086.72,511,141,121,14.87603305785124,59,1,Vintage Red Enamel Trim Jug,high,95.16,Apple Pay,Desktop,1,1,False,True,False,False,False,True,,2,medium,0.02,0.2956,0.2422,0.5,6.22,91.97,75.36,155.57,ESCALATE_TO_HUMAN,155.57,True,ESCALATE_TO_HUMAN,0.5,escalated,False,0.0,ESCALATE_TO_HUMAN,155.57,False,0.0
CASE_005898,109.15,PayPal,Tablet,checkout_abandonment,checkout_abandoned,0,False,31.0,Bursa,1,109.15,109.15,1.0,7.0,1.0,5.0,8.0,29,1472.26,50.76758620689655,58.7,506.40000000000003,130,134,0,29.0,28,1,World War 2 Gliders Asstd Designs,low,11.59,PayPal,Tablet,2,12,False,True,True,False,True,False,,3,medium,0.3228,0.4964,0.2428,0.5,35.23,54.18,26.5,54.58,ESCALATE_TO_HUMAN,54.58,True,ESCALATE_TO_HUMAN,0.5,escalated,False,0.0,ESCALATE_TO_HUMAN,54.58,True,109.15
CASE_007461,356.38,Credit Card,Tablet,invoice_overdue,customer_delay,0,False,49.0,Adana,1,356.38,356.38,16.0,9.0,1.0,3.0,4.0,29,3119.24,107.55999999999999,61.25,379.8,283,309,0,29.0,28,1,Party Bunting,medium,52.16,Credit Card,Tablet,3,8,False,False,False,False,False,True,,2,medium,0.4437,0.3891,0.4864,0.5,158.13,138.67,173.34,178.19,ESCALATE_TO_HUMAN,178.19,True,ESCALATE_TO_HUMAN,0.5,recovered,True,356.38,ESCALATE_TO_HUMAN,178.19,False,0.0
CASE_006462,1317.25,Apple Pay,Desktop,payment_failure,bank_timeout,1,True,42.0,Ankara,1,1317.25,1317.25,14.0,9.0,1.0,4.0,9.0,30,2313.07,77.10233333333333,59.89,159.24,211,87,0,30.0,30,1,Chocolate Hot Water Bottle,medium,2.84,Apple Pay,Desktop,3,4,False,True,False,False,False,False,,2,medium,0.6813,0.4021,0.3149,0.5,897.44,529.67,414.8,658.62,RETRY_PAYMENT,897.44,False,RETRY_PAYMENT,0.6813,recovered,True,1317.25,RETRY_PAYMENT,897.44,True,1317.25
CASE_007936,1235.45,Debit Card,Tablet,checkout_abandonment,customer_inactivity,0,True,30.0,Izmir,1,1235.45,1235.45,26.0,9.0,1.0,3.0,8.0,63,4971.96,78.92,28.96,724.54,374,210,0,63.0,63,1,6 Ribbons Elegant Christmas,high,64.3,Debit Card,Tablet,3,5,False,False,False,False,False,False,,1,low,0.5753,0.689,0.374,0.5,710.75,851.23,462.06,617.72,CREATE_PAYMENT_LINK,851.23,False,CREATE_PAYMENT_LINK,0.689,recovered,True,1235.45,CREATE_PAYMENT_LINK,851.23,False,0.0
CASE_000448,75.73,Credit Card,Mobile,checkout_abandonment,checkout_abandoned,0,False,38.0,Istanbul,1,75.73,75.73,11.0,8.0,0.0,5.0,5.0,34,4237.04,124.61882352941177,128.16,266.88,393,162,0,34.0,34,1,12 Coloured Party Balloons,medium,84.66,Credit Card,Mobile,4,14,False,False,True,False,True,False,,3,medium,0.3662,0.5232,0.256,0.5,27.73,39.62,19.39,37.86,CREATE_PAYMENT_LINK,39.62,True,ESCALATE_TO_HUMAN,0.5,recovered,True,75.73,ESCALATE_TO_HUMAN,37.86,True,75.73
CASE_000285,1153.29,Debit Card,Tablet,checkout_abandonment,payment_page_abandoned,0,False,32.0,Ankara,1,1153.29,1153.29,13.0,7.0,1.0,2.0,7.0,28,5470.82,195.38642857142855,138.35999999999999,1028.8,439,95,278,3.0215827338129495,24,1,Regency Cakestand 3 Tier,high,118.98,Debit Card,Tablet,1,6,True,True,False,False,False,True,,3,medium,0.2052,0.4064,0.1814,0.5,236.66,468.7,209.21,576.64,ESCALATE_TO_HUMAN,576.64,True,ESCALATE_TO_HUMAN,0.5,recovered,True,1153.29,ESCALATE_TO_HUMAN,576.64,True,1153.29
CASE_002501,4735.17,Debit Card,Tablet,subscription_failure,recurring_payment_failure,0,True,41.0,Gaziantep,1,4735.17,4735.17,14.0,9.0,1.0,4.0,5.0,251,5521.15,21.996613545816732,12.26,392.32,848,4,0,251.0,251,1,10 Colour Spaceboy Pen,high,91.65,Debit Card,Tablet,2,4,False,False,False,False,False,False,,0,low,0.5613,0.4771,0.5449,0.5,2657.85,2259.15,2580.19,2367.58,RETRY_PAYMENT,2657.85,False,RETRY_PAYMENT,0.5613,not_recovered,False,0.0,SEND_REMINDER,2580.19,True,4735.17
CASE_003313,1008.72,Debit Card,Tablet,checkout_abandonment,customer_inactivity,0,True,31.0,Eskisehir,1,1008.72,1008.72,15.0,10.0,1.0,2.0,4.0,14,553.4399999999999,39.53142857142857,20.45,276.71999999999997,48,18,12,35.0,5,1,Cake Stand 3 Tier Magic Garden,low,25.24,Debit Card,Tablet,4,1,False,False,False,False,False,False,,1,low,0.5402,0.6591,0.3511,0.44,544.91,664.85,354.16,443.84,CREATE_PAYMENT_LINK,664.85,False,CREATE_PAYMENT_LINK,0.6591,recovered,True,1008.72,CREATE_PAYMENT_LINK,664.85,True,1008.72
CASE_003364,2868.72,PayPal,Tablet,payment_failure,temporary_bank_error,0,True,18.0,Kayseri,1,2868.72,2868.72,23.0,10.0,1.0,4.0,3.0,21,1902.8899999999999,90.61380952380952,92.24,148.8,160,64,7,90.0,20,1,Round Snack Boxes Set Of 4 Fruits,medium,1.78,PayPal,Tablet,3,10,False,False,True,False,False,False,,2,medium,0.7935,0.4875,0.3728,0.5,2276.33,1398.5,1069.46,1434.36,RETRY_PAYMENT,2276.33,False,RETRY_PAYMENT,0.7935,recovered,True,2868.72,RETRY_PAYMENT,2276.33,True,2868.72
CASE_003089,79.59,Apple Pay,Desktop,repeated_payment_failure,repeated_payment_failure,3,True,30.0,Adana,1,79.59,79.59,9.0,13.0,1.0,4.0,5.0,34,3709.7,109.10882352941177,83.13,286.56,311,18,0,34.0,34,1,3d Christmas Stamps Stickers,medium,25.28,Apple Pay,Desktop,0,6,False,False,False,False,False,False,,0,low,0.2122,0.4778,0.3654,0.5,16.89,38.03,29.08,39.8,ESCALATE_TO_HUMAN,39.8,False,ESCALATE_TO_HUMAN,0.5,recovered,True,79.59,ESCALATE_TO_HUMAN,39.8,False,0.0
CASE_009242,557.95,Apple Pay,Mobile,repeated_payment_failure,multiple_bank_failures,2,True,34.0,Istanbul,1,557.95,557.95,12.0,7.0,1.0,3.0,10.0,80,15386.24,192.328,114.08000000000001,1632.96,1377,5,280,8.571428571428571,51,1,Victorian Glass Hanging T-Light,very_high,422.6,Apple Pay,Mobile,2,6,True,True,False,True,False,False,,3,medium,0.02,0.2773,0.2312,0.5,11.16,154.72,129.0,278.98,ESCALATE_TO_HUMAN,278.98,False,ESCALATE_TO_HUMAN,0.5,escalated,False,0.0,ESCALATE_TO_HUMAN,278.98,True,557.95
CASE_009238,876.02,Debit Card,Mobile,payment_failure,insufficient_funds,1,False,38.0,Izmir,1,876.02,876.02,10.0,9.0,0.0,4.0,10.0,125,17372.25,138.978,95.84,1358.4,1469,79,197,19.03553299492386,103,1,Coffee Mug Cat + Bird Design,very_high,98.16,Debit Card,Mobile,1,14,False,True,True,True,True,True,,5,high,0.0867,0.1137,0.1163,0.85,75.95,99.6,101.88,744.62,ESCALATE_TO_HUMAN,744.62,True,ESCALATE_TO_HUMAN,0.85,recovered,True,876.02,ESCALATE_TO_HUMAN,744.62,True,876.02
CASE_009798,134.28,PayPal,Tablet,payment_failure,insufficient_funds,1,True,20.0,Antalya,1,134.28,134.28,15.0,11.0,1.0,5.0,4.0,10,4040.2999999999997,404.03,236.45999999999998,1274.3999999999999,354,337,29,10.344827586206897,10,1,20 Dolly Pegs Retrospot,medium,232.06,PayPal,Tablet,3,7,True,True,False,False,False,False,,3,medium,0.3258,0.297,0.2418,0.4,43.75,39.88,32.47,53.71,ESCALATE_TO_HUMAN,53.71,False,ESCALATE_TO_HUMAN,0.4,recovered,True,134.28,RETRY_PAYMENT,43.75,True,134.28
CASE_002808,1209.77,Debit Card,Tablet,checkout_abandonment,customer_inactivity,0,False,29.0,Adana,1,1209.77,1209.77,8.0,8.0,1.0,5.0,6.0,219,32626.75,148.98059360730593,133.2,533.76,3008,22,350,18.771428571428572,87,1,Alarm Clock Bakelike Red,very_high,60.87,Debit Card,Tablet,2,14,False,False,True,False,True,True,,3,medium,0.3127,0.4898,0.2392,0.5,378.3,592.55,289.38,604.88,ESCALATE_TO_HUMAN,604.88,True,ESCALATE_TO_HUMAN,0.5,escalated,False,0.0,ESCALATE_TO_HUMAN,604.88,False,0.0
CASE_005031,1406.24,PayPal,Desktop,payment_failure,temporary_bank_error,1,False,50.0,Izmir,1,1406.24,1406.24,15.0,8.0,1.0,3.0,4.0,12,1397.46,116.455,79.62,393.12,116,16,2,180.0,11,1,Tradtional Alphabet Stamp Set,low,67.02,PayPal,Desktop,1,4,False,False,False,False,False,True,,1,low,0.6288,0.3595,0.2837,0.42,884.24,505.54,398.95,590.62,RETRY_PAYMENT,884.24,True,ESCALATE_TO_HUMAN,0.42,recovered,True,1406.24,ESCALATE_TO_HUMAN,590.62,False,0.0
CASE_009379,923.5,Debit Card,Tablet,checkout_abandonment,customer_inactivity,0,True,33.0,Istanbul,1,923.5,923.5,16.0,7.0,0.0,4.0,4.0,33,2998.76,90.87151515151515,77.16,393.12,247,238,120,8.25,32,1,Coffee Mug Apples Design,medium,141.36,Debit Card,Tablet,1,5,False,True,False,False,False,False,,1,low,0.3903,0.5418,0.2687,0.5,360.44,500.35,248.14,461.75,CREATE_PAYMENT_LINK,500.35,False,CREATE_PAYMENT_LINK,0.5418,recovered,True,923.5,CREATE_PAYMENT_LINK,500.35,True,923.5
CASE_003720,560.75,Google Pay,Mobile,payment_failure,bank_timeout,0,False,23.0,Adana,1,560.75,560.75,21.0,12.0,1.0,4.0,4.0,11,1363.9399999999998,123.99454545454545,73.5,338.15999999999997,100,323,0,11.0,11,1,Airline Bag Vintage Tokyo 78,low,49.7,Google Pay,Mobile,4,10,False,True,True,False,False,True,,4,high,0.5385,0.2927,0.24,0.76,301.96,164.13,134.58,426.17,ESCALATE_TO_HUMAN,426.17,True,ESCALATE_TO_HUMAN,0.76,recovered,True,560.75,ESCALATE_TO_HUMAN,426.17,True,560.75
CASE_002998,114.3,Debit Card,Desktop,subscription_failure,recurring_payment_failure,0,False,64.0,Kayseri,1,114.3,114.3,24.0,9.0,1.0,4.0,9.0,12,761.5699999999999,63.464166666666664,46.12,211.32,53,25,340,1.0588235294117647,12,1,Black Kitchen Scales,low,145.57,Debit Card,Desktop,4,14,False,False,True,False,True,True,,4,high,0.2379,0.2262,0.3707,0.77,27.19,25.85,42.37,88.01,ESCALATE_TO_HUMAN,88.01,True,ESCALATE_TO_HUMAN,0.77,recovered,True,114.3,ESCALATE_TO_HUMAN,88.01,True,114.3
CASE_000358,802.96,Google Pay,Desktop,checkout_abandonment,payment_page_abandoned,0,False,18.0,Istanbul,1,802.96,802.96,10.0,15.0,0.0,5.0,11.0,58,6117.34,105.47137931034483,77.16,506.40000000000003,510,212,86,20.232558139534884,58,1,3 Hook Photo Shelf Antique White,high,13.34,Google Pay,Desktop,2,13,False,True,True,False,True,True,,4,high,0.1567,0.3672,0.1528,0.85,125.82,294.85,122.69,682.52,ESCALATE_TO_HUMAN,682.52,True,ESCALATE_TO_HUMAN,0.85,recovered,True,802.96,ESCALATE_TO_HUMAN,682.52,True,802.96
CASE_005639,198.74,PayPal,Mobile,repeated_payment_failure,repeated_declines,2,False,43.0,Bursa,1,198.74,198.74,14.0,10.0,1.0,4.0,17.0,81,6649.89,82.09740740740742,70.45,269.28000000000003,573,14,291,8.350515463917526,68,1,Grey Heart Hot Water Bottle,high,6.75,PayPal,Mobile,1,10,False,False,True,False,False,True,,2,medium,0.093,0.3885,0.306,0.5,18.48,77.21,60.81,99.37,ESCALATE_TO_HUMAN,99.37,True,ESCALATE_TO_HUMAN,0.5,escalated,False,0.0,ESCALATE_TO_HUMAN,99.37,True,198.74
CASE_002315,457.3,Apple Pay,Desktop,payment_failure,insufficient_funds,0,False,48.0,Bursa,1,457.3,457.3,5.0,12.0,1.0,4.0,3.0,33,1398.77,42.38696969696969,28.18,254.88,142,14,301,3.2890365448504983,29,1,Knitted Union Flag Hot Water Bottle,low,68.84,Apple Pay,Desktop,0,11,False,False,True,False,True,False,,2,medium,0.4085,0.3592,0.2835,0.5,186.81,164.26,129.64,228.65,ESCALATE_TO_HUMAN,228.65,True,ESCALATE_TO_HUMAN,0.5,recovered,True,457.3,ESCALATE_TO_HUMAN,228.65,True,457.3
CASE_005315,64.79,Google Pay,Mobile,checkout_abandonment,checkout_abandoned,0,True,33.0,Izmir,1,64.79,64.79,15.0,12.0,0.0,3.0,6.0,40,4338.37,108.45925,79.26,461.2,442,4,60,20.0,33,1,Deluxe Sewing Kit,medium,23.45,Google Pay,Mobile,4,1,False,False,False,False,False,False,,1,low,0.4975,0.6229,0.3234,0.5,32.23,40.36,20.95,32.4,CREATE_PAYMENT_LINK,40.36,False,CREATE_PAYMENT_LINK,0.6229,not_recovered,False,0.0,CREATE_PAYMENT_LINK,40.36,True,64.79
CASE_003590,5051.42,PayPal,Tablet,payment_failure,bank_timeout,0,False,32.0,Adana,1,5051.42,5051.42,14.0,8.0,1.0,3.0,5.0,390,34079.54,87.3834358974359,77.16,393.12,2982,67,256,45.703125,204,1,Plasters In Tin Woodland Animals,very_high,1.93,PayPal,Tablet,2,12,False,True,True,False,True,False,,3,medium,0.5597,0.3107,0.2538,0.5,2827.28,1569.48,1282.05,2525.71,RETRY_PAYMENT,2827.28,True,ESCALATE_TO_HUMAN,0.5,recovered,True,5051.42,ESCALATE_TO_HUMAN,2525.71,False,0.0
CASE_001770,187.42,Credit Card,Desktop,repeated_payment_failure,multiple_bank_failures,3,False,38.0,Gaziantep,1,187.42,187.42,9.0,9.0,0.0,1.0,6.0,5,2737.16,547.432,129.72,1408.8,236,317,21,7.142857142857143,4,1,Heart Of Wicker Small,medium,100.6,Credit Card,Desktop,3,14,False,False,True,False,True,False,,3,medium,0.02,0.2717,0.2166,0.35,3.75,50.92,40.6,65.6,ESCALATE_TO_HUMAN,65.6,True,ESCALATE_TO_HUMAN,0.35,recovered,True,187.42,ESCALATE_TO_HUMAN,65.6,True,187.42
CASE_003362,1486.0,Google Pay,Mobile,payment_failure,temporary_bank_error,0,False,38.0,Istanbul,1,1486.0,1486.0,18.0,7.0,0.0,4.0,8.0,62,1019.33,16.440806451612904,12.825,74.28,119,10,83,22.40963855421687,55,1,Boudoir Square Tissue Box,low,303.46,Google Pay,Mobile,4,10,False,False,True,False,False,True,,3,medium,0.5927,0.3288,0.2602,0.5,880.75,488.6,386.66,743.0,RETRY_PAYMENT,880.75,True,ESCALATE_TO_HUMAN,0.5,escalated,False,0.0,ESCALATE_TO_HUMAN,743.0,False,0.0
CASE_002686,961.33,Google Pay,Tablet,payment_failure,insufficient_funds,0,True,27.0,Gaziantep,1,961.33,961.33,4.0,9.0,1.0,4.0,4.0,4,366.34000000000003,91.58500000000001,96.17,112.72,26,18,0,4.0,4,1,Feltcraft Doll Molly,low,48.57,Google Pay,Tablet,4,10,False,False,True,False,False,False,,2,medium,0.4697,0.3992,0.3053,0.34,451.54,383.76,293.49,326.85,RETRY_PAYMENT,451.54,False,RETRY_PAYMENT,0.4697,not_recovered,False,0.0,RETRY_PAYMENT,451.54,True,961.33
CASE_003273,2201.36,PayPal,Tablet,payment_failure,payment_method_failure,0,True,43.0,Istanbul,1,2201.36,2201.36,4.0,8.0,1.0,1.0,4.0,11,1733.7600000000002,157.61454545454546,14.61,1556.64,155,304,49,6.73469387755102,11,1,Aged Glass Silver T-Light Holder,low,218.32,PayPal,Tablet,0,5,False,False,False,False,False,False,,0,low,0.512,0.4352,0.3328,0.41,1127.1,958.03,732.61,902.56,RETRY_PAYMENT,1127.1,False,RETRY_PAYMENT,0.512,not_recovered,False,0.0,RETRY_PAYMENT,1127.1,True,2201.36
CASE_005049,692.0,Apple Pay,Mobile,checkout_abandonment,payment_page_abandoned,0,False,57.0,Izmir,1,692.0,692.0,7.0,6.0,1.0,4.0,4.0,56,8756.01,156.35732142857142,27.27,1878.4,705,17,302,5.562913907284768,53,1,3 Drawer Antique White Wood Cabinet,high,236.86,Apple Pay,Mobile,0,9,True,False,True,False,False,True,,3,medium,0.3282,0.5009,0.2463,0.5,227.11,346.62,170.44,346.0,CREATE_PAYMENT_LINK,346.62,True,ESCALATE_TO_HUMAN,0.5,escalated,False,0.0,ESCALATE_TO_HUMAN,346.0,True,692.0
CASE_003950,868.08,Credit Card,Tablet,invoice_overdue,invoice_overdue,0,False,18.0,Istanbul,1,868.08,868.08,29.0,6.0,1.0,5.0,3.0,132,11092.47,84.03386363636363,46.14,511.20000000000005,950,18,353,11.21813031161473,115,1,Assorted Colour Bird Ornament,high,32.27,Credit Card,Tablet,1,1,False,True,False,False,False,True,,2,medium,0.3538,0.3228,0.443,0.5,307.13,280.22,384.56,434.04,ESCALATE_TO_HUMAN,434.04,True,ESCALATE_TO_HUMAN,0.5,recovered,True,868.08,ESCALATE_TO_HUMAN,434.04,True,868.08
CASE_006154,600.11,Credit Card,Tablet,payment_failure,payment_method_failure,1,False,56.0,Kayseri,1,600.11,600.11,11.0,6.0,0.0,3.0,9.0,22,1325.96,60.27090909090909,46.64,174.72,93,148,224,2.946428571428571,19,1,Charlie And Lola Figures Tins,low,132.33,Credit Card,Tablet,1,12,False,False,True,False,True,False,,2,medium,0.33,0.2925,0.2325,0.5,198.04,175.53,139.53,300.06,ESCALATE_TO_HUMAN,300.06,True,ESCALATE_TO_HUMAN,0.5,recovered,True,600.11,ESCALATE_TO_HUMAN,300.06,False,0.0
